Crossover Prob	Mutation Prob	Population Size	Max Features	Fitness Function	Accuracy
0.01	0.05	10	120	mean	0.458333333
0.01	0.05	25	120	mean	0.458333333
0.5	0.05	50	240	mean	0.458333333
0.01	0.01	10	240	mean	0.5
0.01	0.01	25	120	mean	0.5
0.01	0.01	50	240	mean	0.5
0.01	0.1	10	240	mean	0.5
0.01	0.1	50	60	mean	0.5
0.1	0.1	50	240	mean	0.5
0.01	0.01	10	120	mean	0.541666667
0.01	0.05	10	60	mean	0.541666667
0.01	0.1	10	120	mean	0.541666667
0.1	0.01	10	240	mean	0.541666667
0.1	0.01	25	120	mean	0.541666667
0.1	0.01	50	240	mean	0.541666667
0.1	0.05	10	60	mean	0.541666667
0.5	0.01	10	120	mean	0.541666667
0.5	0.01	25	60	mean	0.541666667
0.5	0.05	10	60	mean	0.541666667
0.5	0.05	10	240	mean	0.541666667
0.01	0.01	25	240	mean	0.583333333
0.01	0.01	50	60	mean	0.583333333
0.01	0.05	25	60	mean	0.583333333
0.01	0.05	25	240	mean	0.583333333
0.01	0.05	50	120	mean	0.583333333
0.01	0.1	50	120	mean	0.583333333
0.1	0.01	10	120	mean	0.583333333
0.1	0.01	25	60	mean	0.583333333
0.1	0.01	25	240	mean	0.583333333
0.1	0.01	50	120	mean	0.583333333
0.1	0.1	10	60	mean	0.583333333
0.1	0.1	10	120	mean	0.583333333
0.1	0.1	25	120	mean	0.583333333
0.5	0.05	10	120	mean	0.583333333
0.5	0.1	25	60	mean	0.583333333
0.5	0.1	25	240	mean	0.583333333
0.01	0.01	10	60	mean	0.625
0.01	0.01	25	60	mean	0.625
0.01	0.05	10	240	mean	0.625
0.01	0.1	25	60	mean	0.625
0.01	0.1	50	240	mean	0.625
0.1	0.05	10	120	mean	0.625
0.1	0.05	10	240	mean	0.625
0.1	0.05	25	120	mean	0.625
0.1	0.1	25	240	mean	0.625
0.1	0.1	50	60	mean	0.625
0.1	0.1	50	120	mean	0.625
0.5	0.01	10	60	mean	0.625
0.5	0.01	50	240	mean	0.625
0.5	0.05	50	60	mean	0.625
0.5	0.1	10	240	mean	0.625
0.5	0.1	25	120	mean	0.625
0.5	0.1	50	120	mean	0.625
0.01	0.01	50	120	mean	0.666666667
0.01	0.1	25	120	mean	0.666666667
0.1	0.01	10	60	mean	0.666666667
0.1	0.05	25	240	mean	0.666666667
0.5	0.01	10	240	mean	0.666666667
0.5	0.01	25	240	mean	0.666666667
0.5	0.01	50	120	mean	0.666666667
0.5	0.05	25	120	mean	0.666666667
0.5	0.05	50	120	mean	0.666666667
0.5	0.1	10	120	mean	0.666666667
0.5	0.1	50	240	mean	0.666666667
0.01	0.05	50	240	mean	0.708333333
0.01	0.1	10	60	mean	0.708333333
0.1	0.01	50	60	mean	0.708333333
0.1	0.05	25	60	mean	0.708333333
0.1	0.1	10	240	mean	0.708333333
0.5	0.01	25	120	mean	0.708333333
0.5	0.01	50	60	mean	0.708333333
0.5	0.05	25	60	mean	0.708333333
0.5	0.05	25	240	mean	0.708333333
0.5	0.1	10	60	mean	0.708333333
0.01	0.05	50	60	mean	0.75
0.1	0.05	50	120	mean	0.75
0.1	0.05	50	240	mean	0.75
0.1	0.1	25	60	mean	0.75
0.01	0.1	25	240	mean	0.791666667
0.1	0.05	50	60	mean	0.833333333
0.5	0.1	50	60	mean	0.833333333
